qb_fd,def_fd
25.6,6.0
38.36,4.0
23.4,2.0
5.26,8.0
14.759999999999998,16.0
26.560000000000002,-3.0
4.74,14.0
37.78,1.0
36.42,1.0
19.94,5.0
14.64,2.0
25.24,0.0
29.56,5.0
7.4,6.0
7.46,10.0
20.72,6.0
8.4,13.0
23.14,2.0
2.7600000000000002,16.0
15.06,8.0
25.1,5.0
13.4,10.0
16.96,10.0
22.56,12.0
22.080000000000002,10.0
15.940000000000001,6.0
21.38,11.0
17.44,4.0
13.600000000000001,7.0
17.48,7.0
24.1,-4.0
29.64,3.0
18.06,9.0
22.92,3.0
20.959999999999997,5.0
26.62,1.0
11.96,10.0
21.52,12.0
19.38,0.0
14.420000000000002,17.0
31.9,3.0
21.860000000000003,4.0
8.42,6.0
8.3,3.0
14.66,3.0
21.740000000000002,7.0
13.68,3.0
12.08,13.0
23.7,2.0
16.94,5.0
12.5,-2.0
5.22,18.0
28.1,-1.0
12.8,8.0
19.82,7.0
18.759999999999998,6.0
24.400000000000002,2.0
6.280000000000001,20.0
14.06,1.0
15.02,-1.0
20.84,3.0
9.18,16.0
17.78,0.0
24.020000000000003,0.0
10.9,11.0
5.680000000000001,9.0
14.94,3.0
18.8,9.0
5.34,4.0
8.760000000000002,3.0
3.36,10.0
17.259999999999998,5.0
18.800000000000004,11.0
5.96,15.0
22.76,4.0
4.96,4.0
1.3600000000000003,17.0
19.6,-3.0
2.0200000000000005,16.0
20.18,8.0
14.06,5.0
24.860000000000003,-3.0
15.040000000000001,8.0
32.0,6.0
34.440000000000005,0.0
21.200000000000003,3.0
17.76,8.0
25.76,7.0
18.200000000000003,6.0
13.86,6.0
35.14,-4.0
26.56,3.0
24.160000000000004,3.0
15.5,0.0
21.54,10.0
12.4,4.0
12.5,10.0
27.32,5.0
6.74,2.0
14.66,1.0
25.18,-1.0
8.38,2.0
17.32,1.0
27.300000000000004,6.0
28.64,1.0
24.060000000000002,3.0
6.24,9.0
9.08,9.0
20.82,1.0
29.759999999999998,5.0
15.56,7.0
14.96,8.0
19.18,3.0
25.24,3.0
9.940000000000001,6.0
26.0,0.0
15.62,6.0
13.82,6.0
7.66,9.0
20.339999999999996,4.0
11.540000000000001,14.0
17.78,4.0
11.000000000000002,3.0
23.6,-3.0
11.52,10.0
23.099999999999998,2.0
17.540000000000003,3.0
10.74,3.0
13.44,1.0
30.14,5.0
2.96,9.0
13.100000000000001,18.0
19.48,6.0
24.36,4.0
19.86,0.0
18.5,4.0
17.740000000000002,11.0
4.76,6.0
9.18,10.0
29.900000000000002,10.0
21.56,8.0
11.92,9.0
9.600000000000001,1.0
28.12,22.0
18.92,4.0
21.0,16.0
4.0600000000000005,11.0
24.54,5.0
18.0,2.0
32.900000000000006,-4.0
36.720000000000006,4.0
12.04,4.0
14.200000000000001,9.0
6.3,16.0
12.76,4.0
13.880000000000003,19.0
20.200000000000003,5.0
7.24,13.0
9.440000000000001,11.0
16.54,5.0
16.1,5.0
20.459999999999997,1.0
14.24,8.0
8.940000000000001,3.0
26.82,5.0
8.58,5.0
19.1,6.0
19.76,0.0
19.1,8.0
28.740000000000002,0.0
4.04,12.0
-2.0,20.0
30.68,8.0
11.78,8.0
12.8,10.0
10.72,9.0
9.18,7.0
18.740000000000002,2.0
14.440000000000001,6.0
16.240000000000002,6.0
21.240000000000002,4.0
37.580000000000005,-4.0
5.220000000000001,10.0
23.52,1.0
18.98,6.0
18.98,9.0
27.8,-1.0
18.720000000000002,1.0
29.6,4.0
16.06,3.0
28.080000000000002,3.0
7.299999999999999,7.0
15.879999999999999,9.0
16.6,11.0
23.64,4.0
31.78,-3.0
5.92,13.0
19.36,5.0
16.740000000000002,7.0
24.98,1.0
17.84,6.0
24.380000000000003,3.0
32.040000000000006,3.0
20.36,19.0
11.879999999999999,2.0
14.459999999999999,7.0
13.8,7.0
16.52,2.0
28.759999999999998,4.0
29.900000000000002,7.0
24.1,4.0
17.680000000000003,10.0
17.12,19.0
12.98,7.0
10.76,3.0
31.48,9.0
14.48,9.0
10.760000000000002,10.0
18.66,1.0
32.4,10.0
17.980000000000004,4.0
12.700000000000001,10.0
19.42,0.0
14.719999999999999,-2.0
9.46,12.0
13.36,8.0
11.3,20.0
19.22,8.0
15.06,-3.0
17.62,4.0
22.58,0.0
16.94,4.0
26.14,6.0
11.8,0.0
15.82,17.0
18.96,-1.0
28.200000000000003,8.0
19.64,5.0
22.6,6.0
6.1000000000000005,19.0
7.9799999999999995,8.0
23.259999999999998,12.0
