Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134251-169381,RB,Jadarian,Jadarian Price,Price,6.800000190734863,1,6500,SEA@ARI,SEA,ARI,,,,,,RB/FLEX
134251-133472,WR,Ladd,Ladd McConkey,McConkey,16.700000762939453,1,6400,LV@LAC,LAC,LV,Q,Ribs,,,,WR/FLEX
134251-60947,QB,Jarrett,Jarrett Stidham,Stidham,4.260000228881836,2,6400,JAC@DEN,DEN,JAC,,,,,,QB
134251-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,9.300000190734863,1,6400,JAC@DEN,JAC,DEN,,,,,,RB/FLEX
134251-243753,QB,Jack,Jack Strand,Strand,,0,6300,CAR@ATL,ATL,CAR,,,,,,QB
134251-120033,WR,Rome,Rome Odunze,Odunze,6.199999809265137,1,6300,MIN@CHI,CHI,MIN,,,,,,WR/FLEX
134251-87467,RB,Chuba,Chuba Hubbard,Hubbard,22.200000762939453,1,6300,CAR@ATL,CAR,ATL,,,,,,RB/FLEX
134251-184183,QB,Shedeur,Shedeur Sanders,Sanders,12.237500190734863,8,6300,CLE@TB,CLE,TB,,,,,,QB
134251-175137,QB,Fernando,Fernando Mendoza,Mendoza,,0,6200,LV@LAC,LV,LAC,,,,,,QB
134251-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,15,1,6200,MIA@SF,SF,MIA,,,,,,WR/FLEX
134251-87787,RB,J.K.,J.K. Dobbins,Dobbins,3.5999999046325684,1,6200,JAC@DEN,DEN,JAC,,,,,,RB/FLEX
134251-152575,QB,J.J.,J.J. McCarthy,McCarthy,13.73800048828125,10,6200,MIN@CHI,MIN,CHI,,,,,,QB
134251-57403,WR,Courtland,Courtland Sutton,Sutton,2.0999999046325684,1,6100,JAC@DEN,DEN,JAC,,,,,,WR/FLEX
134251-112057,RB,Jaylen,Jaylen Warren,Warren,7.800000190734863,1,6100,PIT@NE,PIT,NE,,,,,,RB/FLEX
134251-25079,WR,Stefon,Stefon Diggs,Diggs,13.5,1,6100,WAS@DAL,WAS,DAL,,,,,,WR/FLEX
134251-119697,RB,MarShawn,MarShawn Lloyd,Lloyd,3.700000047683716,1,6100,GB@NYJ,GB,NYJ,,,,,,RB/FLEX
134251-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.743333180745443,6,6000,GB@NYJ,GB,NYJ,,,,,,QB
